timestamp,server_id,location,cpu_usage,memory_usage,storage_utilization,network_bandwidth_usage,latency,incoming_requests,outgoing_requests,connections,data_transfer_rate,packet_loss,power_usage,server_temperature,cooling_system_performance
27-01-2023 07:44,d6a3d1d2-61dd-47e8-8c61-c38ac10ef18e,American Samoa,50.92793188,71.46673899,34.62568453,20.68481214,310.887723,509,68,351,99.23740353,1.433023148,768.0615092,40.32061613,8.108865719
02-01-2023 04:48,4f6af7e9-79eb-4a41-beaa-2bbb17c112c4,Hungary,26.33932516,17.86108768,74.61682183,74.64617746,255.7147106,924,632,226,11.06557561,7.459679231,149.392784,72.91972908,5.220257661
15-03-2023 04:21,b3999280-3d68-4167-87e0-3b531260f2a6,Micronesia,83.94298778,48.46567253,67.68804526,61.94340055,135.6440188,30,685,109,41.09241691,0.679741323,976.3899767,43.77361619,11.59881422
04-04-2023 06:08,fa4fb2a3-3e8f-477a-ab39-196a751875d3,Antigua and Barbuda,32.5114345,27.94809481,54.09421378,61.53136034,353.0079489,527,22,473,49.30321128,1.716940032,60.1454976,9.100889314,37.48395642
13-01-2023 11:00,af80996c-07b6-4b88-baf1-b0a050e9414e,United States Virgin Islands,76.99712289,45.64662029,30.67451693,48.37250868,45.17048609,684,659,9,94.61269938,9.404273953,548.9290039,33.52890697,73.26813238
23-03-2023 06:30,fb12eb03-dcb3-4041-b0e3-f9dec111eca5,Senegal,36.46304149,91.80314761,3.431451254,62.84953111,468.030823,917,888,72,98.23282303,7.714008434,610.7724404,35.15934133,78.40609784
30-03-2023 06:55,306957e0-b955-43b3-b766-1aae39155a5f,Antigua and Barbuda,71.16649581,15.08346175,3.983054356,97.59187581,143.5173711,746,516,464,75.45241706,3.224635361,590.333487,76.09275791,20.05568401
05-04-2023 02:26,aed1207e-de10-4958-9ac7-2410c10c2e52,Sierra Leone,87.71771346,20.34169615,19.62007429,80.65972272,327.6908275,886,826,126,13.32680691,3.920087965,254.9085646,11.652919,4.183978591
06-01-2023 03:27,ca0376c6-164d-493b-873a-21517cced9f9,Ecuador,9.605840154,95.16588353,8.660674467,39.31296268,161.2955212,359,42,284,90.4786115,4.12615253,986.7352822,37.85366627,20.21895975
27-03-2023 04:50,9d05d28c-0ca4-40f9-bbbd-994428fa9320,Bahamas,58.05861391,24.30855411,35.71204408,52.29308822,150.3703907,965,534,224,40.43410465,8.326641324,310.4086179,17.80070184,77.80410883
23-02-2023 23:09,e88debc5-7fad-499a-8a3b-40d7acbd9b98,Mongolia,38.80703142,57.56665504,10.77382617,4.679188217,51.42956817,240,311,58,5.366650412,2.17688842,445.5893926,18.64381296,14.18673017
13-02-2023 23:48,33e09487-dc0c-45d3-a019-eaa3bffdd141,Belarus,28.83584036,81.48182718,55.12554951,97.94261397,412.4744995,450,142,250,11.05164926,1.815710646,963.978761,35.77065331,77.81957182
24-01-2023 23:05,670bfafd-f31f-4373-983e-eeb1cdb1a64e,Australia,80.24908976,72.99361162,17.86314795,64.53198472,125.436337,620,40,269,24.93874229,0.872614225,367.5085617,42.43399947,94.35970759
26-01-2023 08:16,8f332ca9-f957-4382-b606-eba2a6ecf1a7,Paraguay,50.66789921,90.82716301,81.14743567,12.7221773,363.8409739,556,435,177,59.68402585,7.998974526,665.2263523,66.31954719,82.23631989
21-03-2023 23:31,c802cb58-f2c6-415a-ac7b-99bed725f88a,Ireland,1.019839921,88.35815548,30.39155289,77.82328058,271.9852556,218,164,64,59.73257851,2.981499188,347.6931447,18.94439938,51.48694293
13-01-2023 13:46,d7bfb950-bfc2-4b11-a9d8-a1b42c29ee99,Serbia,11.79058752,48.47664812,69.28554875,52.56528191,425.9416844,101,405,366,11.73084367,7.550931719,162.6006431,2.242241837,13.35945318
18-03-2023 19:51,b8022e02-c3ae-4fee-a949-7dbc8599afdf,Cayman Islands,78.981941,6.108300694,35.17913026,75.22578969,334.1520081,888,497,81,61.94026413,9.619566704,20.03152627,15.60123196,43.35390478
19-04-2023 03:35,232af33f-8ca1-46ae-9b57-83a25347572e,Barbados,42.85508559,19.86689732,73.48003238,65.3944983,60.46262448,197,493,208,84.52195964,3.791753198,364.7681303,31.59954862,69.81338067
11-03-2023 18:14,af10e89c-081d-40ee-89e6-72148c907b89,Nigeria,92.49189453,0.566921711,37.46770469,79.72340297,0.275562014,268,170,427,31.14758966,6.879851924,578.3706979,61.37105309,93.54432089
19-01-2023 12:45,0c7057d9-5bd7-493a-9eeb-d6399b4bbe78,Congo,89.95512582,1.29963229,58.79361438,74.45849114,82.18314732,588,589,388,63.68272085,7.959868108,245.3266064,84.52714549,40.26104492
08-04-2023 18:33,72272ec7-3f46-4388-8f9e-dc1b7cb597af,Mayotte,27.44682738,93.82206913,76.64488551,16.0406481,92.19164291,37,908,280,58.32989338,6.463673023,986.2756145,20.0119105,11.33947604
14-02-2023 02:46,d75ccca4-9209-459e-9a11-913a830e8743,Swaziland,19.99703018,71.49208841,1.114794889,98.03053457,117.6233082,248,267,430,99.86603242,5.163574794,526.1753868,56.02768354,63.72783915
19-04-2023 06:50,2f48f5d4-6636-4ced-b897-a9e300a0fd83,Tokelau,18.79079275,23.06101052,12.79659322,41.34071782,146.1883717,907,71,217,90.90133375,9.966274754,408.7593533,62.92610813,52.73929369
16-02-2023 19:46,60e1000e-25ba-4ed1-9a20-2888acba08b6,Guatemala,70.84061283,16.30123338,52.00726215,61.41156675,418.5321641,446,347,362,73.85068866,4.104159853,497.6664357,89.74619216,24.54529298
21-03-2023 16:04,abf235e5-747f-4c3f-b0e4-13deaf544838,Burundi,64.50065365,40.46461291,67.79484376,29.14850245,328.8740969,402,472,190,98.38315904,3.571600705,612.8245916,95.85394247,24.50758176
17-01-2023 07:52,993d2eed-be61-4477-9212-2546ff903332,Bermuda,43.1899574,13.38029132,33.81138485,86.1806184,494.033416,293,329,235,23.86401135,8.207456792,276.1110634,34.29217211,52.69107465
23-02-2023 20:30,6aadff90-affc-4aec-9b04-bb9f66e07c11,Wallis and Futuna,20.28503131,65.50158465,53.87202165,12.36104003,285.8727726,393,941,34,4.075199734,4.019660633,796.8130764,14.6614336,47.87055461
05-04-2023 03:58,fcb7554c-7099-4e22-a193-2cd2d47f19c0,Malaysia,26.7952594,51.10218204,50.95530223,39.13767534,442.2835827,359,479,459,50.09463186,7.920112071,531.3635518,85.91177014,11.09768964
13-03-2023 05:38,2f12526c-78ec-4549-976a-7d8681250de7,Fiji,73.57998491,18.27691545,44.81843587,75.92157882,106.0817912,602,562,396,14.67946775,2.413882998,785.1497012,51.08265931,77.07695237
22-04-2023 15:57,e735b90f-cd09-4796-8ff1-eca507ea6e1a,Svalbard & Jan Mayen Islands,99.82243854,64.72158016,44.03473953,96.19000868,334.5907188,440,271,307,2.825361532,2.06367869,488.6627806,56.05035844,22.67927956
05-04-2023 14:16,891f9a4c-52ec-4fa7-804b-2b00261c3666,Liechtenstein,65.92801963,72.73717097,76.11284856,17.54185447,96.709959,427,992,364,19.33349851,1.335763383,956.2601521,9.545842804,99.50012007
06-04-2023 07:02,576beeb5-8058-49a9-b5a9-4dbcbaab30a5,Zimbabwe,99.0258799,72.13601003,48.74416231,33.32205899,244.9639354,727,199,104,58.81542185,3.712351608,936.9046875,76.0406527,45.05224765
14-02-2023 20:06,50ad7061-66d1-4eac-901b-d52aaf218b68,Grenada,91.41204596,49.35154988,86.35340748,57.35485884,143.2325181,637,120,124,49.09682345,9.287958251,463.6769743,1.80135277,30.17326762
12-01-2023 07:02,32a581b1-41a1-4084-af04-adb189043bf1,Sudan,77.69175938,58.93683627,81.87956906,97.53251757,199.3881724,611,335,342,88.34344617,5.982909796,786.0417209,0.232246889,68.29196874
11-03-2023 19:29,cf4abb63-bc24-46a0-be2c-75c0b4aa965d,Northern Mariana Islands,39.22839747,72.45062856,38.43482481,74.01668871,71.16836434,193,606,152,44.31802262,5.240174164,471.5478483,60.28512558,44.00382351
19-04-2023 22:35,1e573a77-fe04-4544-97b5-18d2485cd19c,Norway,51.42958468,89.25249409,24.32845409,85.2185984,460.3753248,271,192,199,97.65099279,1.517733714,904.9303867,89.58415382,78.4507957
14-04-2023 01:03,544bb936-20e2-4459-b64c-5c3f54095ebf,Guatemala,1.756842225,61.60370234,63.69995051,34.04004282,152.6960782,587,242,44,77.99002112,1.553425038,276.8937944,0.751458164,24.2918914
12-03-2023 11:02,d4c5d205-f17e-44e5-8044-9bcadca8f930,Peru,99.68394742,83.88179852,95.86027321,16.86679347,195.4317879,246,740,418,98.53663589,4.571886974,422.5514996,99.02369213,15.31585451
12-02-2023 14:46,69f57796-f181-462e-9623-72635242fa78,Holy See (Vatican City State),47.65548093,79.28289071,72.23945634,33.62315874,384.9330963,918,509,195,75.63040052,3.746352562,122.4777689,11.99831923,2.174721643
21-04-2023 23:19,8472c16d-7801-4145-a02a-14bcf53230af,Algeria,5.21390701,4.927049143,94.3560922,51.96503675,298.5972236,364,398,52,23.03633498,0.1545834,796.0680992,45.27519263,99.53341567
